cities,neighborhoods,saleDates,addresses,helka,kinds,rooms,floors,sizes,prices,changes
אור עקיבא,אור עקיבא הותיקה,21.05.2015, ,10646-183-124,דירה בבית קומות,5,שלישית,118,"1,215,000", 
אור עקיבא,אור עקיבא הותיקה,19.05.2015, ,10646-183-125,דירה בבית קומות,5,ראשונה,118,"1,180,000", 
אור עקיבא,אור עקיבא הותיקה,06.05.2015, ,10646-183-127,דירה בבית קומות,4,שלישית,100,"1,116,000", 
אור עקיבא,אור עקיבא הותיקה,03.05.2015, ,10615-179-1,קוטג' חד משפחתי,6, ,212,"1,815,000", 
אור עקיבא,אור עקיבא הותיקה,22.04.2015, ,10646-183-128,דירה בבית קומות,4,שלישית,100,"1,100,000", 
אור עקיבא,אור עקיבא הותיקה,15.04.2015,הרב מלול יוסף 621,10622-68-1,קוטג' חד משפחתי,6,ראשונה,179,"1,580,000", 
אור עקיבא,אור עקיבא הותיקה,02.04.2015, ,10646-183-129,דירה בבית קומות,4,ראשונה,100,"1,059,000", 
אור עקיבא,אור עקיבא הותיקה,26.03.2015, ,10646-183-130,דירה בבית קומות,4,חמישית,100,"1,020,000", 
אור עקיבא,אור עקיבא הותיקה,25.03.2015, ,10646-183-133,דירה בבית קומות,4,רביעית,100,"1,100,000", 
אור עקיבא,אור עקיבא הותיקה,22.03.2015, ,10646-183-134,דירה בבית קומות,5,רביעית,118,"1,230,000", 
אור עקיבא,אור עקיבא הותיקה,01.03.2015,ביאליק 117,10615-145-1,קוטג' חד משפחתי,5,ראשונה,160,"1,670,000", 
אור עקיבא,אור עקיבא הותיקה,05.01.2015, ,10646-183-135,דירה בבית קומות,4,ראשונה,100,"1,030,000", 
אור עקיבא,אור עקיבא הותיקה,29.12.2014,הנשיא וייצמן 201,10622-178-3,דירה בבית קומות,3,ראשונה,50.80,"545,000",32% ב 4.1 שנים
אור עקיבא,אור עקיבא הותיקה,29.12.2014,,10639-7-1,קוטג' חד משפחתי,2,ראשונה,38,"950,000", 
אור עקיבא,אור עקיבא הותיקה,19.09.2014, ,10615-165-1,חנות,0,ראשונה,50,"750,000", 
אור עקיבא,אור עקיבא הותיקה,11.08.2014,רוטשילד 24,10615-41-1,קוטג' דו משפחתי,3, ,75,"950,000", 
אור עקיבא,אור עקיבא הותיקה,10.08.2014,הרב מלול יוסף 613,10622-81-3,דירה בבית קומות,3,ראשונה,44.60,"545,000",36% ב 2.8 שנים
אור עקיבא,אור עקיבא הותיקה,03.07.2014,בלפור 641,10622-144-13,דירה בבית קומות,3,שלישית,51.70,"430,000", 
אור עקיבא,אור עקיבא הותיקה,02.07.2014,בן יהודה 9,10622-104-1,קוטג' חד משפחתי,5,שניה,140,"1,465,000", 
אור עקיבא,אור עקיבא הותיקה,12.05.2014,ז'בוטינסקי 12,10646-41-2,קוטג' חד משפחתי,5,שניה,184,"2,000,000", 
